0,0,0.000000
0,1,25.227557
0,2,26.499679
0,3,20.428148
0,4,22.641121
0,5,24.301288
0,6,24.172722
0,7,27.948231
0,8,26.017002
0,9,28.515475
1,0,25.227557
1,1,0.000000
1,2,1.284071
1,3,10.058483
1,4,8.089027
1,5,7.369796
1,6,8.277289
1,7,6.350203
1,8,12.957467
1,9,9.528969
2,0,26.499679
2,1,1.284071
2,2,0.000000
2,3,11.034508
2,4,8.898695
2,5,7.972141
2,6,8.892739
2,7,6.234211
2,8,13.435803
2,9,9.564475
3,0,20.428148
3,1,10.058483
3,2,11.034508
3,3,0.000000
3,4,2.673964
3,5,4.418942
3,6,3.959283
3,7,8.606201
3,8,6.219732
3,9,8.202928
4,0,22.641121
4,1,8.089027
4,2,8.898695
4,3,2.673964
4,4,0.000000
4,5,1.766323
4,6,1.556785
4,7,5.933913
4,8,5.675733
4,9,5.883548
5,0,24.301288
5,1,7.369796
5,2,7.972141
5,3,4.418942
5,4,1.766323
5,5,0.000000
5,6,0.921084
5,7,4.198719
5,8,5.637598
5,9,4.335267
6,0,24.172722
6,1,8.277289
6,2,8.892739
6,3,3.959283
6,4,1.556785
6,5,0.921084
6,6,0.000000
6,7,4.854866
6,8,4.786285
6,9,4.342835
7,0,27.948231
7,1,6.350203
7,2,6.234211
7,3,8.606201
7,4,5.933913
7,5,4.198719
7,6,4.854866
7,7,0.000000
7,8,8.127756
7,9,3.391420
8,0,26.017002
8,1,12.957467
8,2,13.435803
8,3,6.219732
8,4,5.675733
8,5,5.637598
8,6,4.786285
8,7,8.127756
8,8,0.000000
8,9,5.384195
9,0,28.515475
9,1,9.528969
9,2,9.564475
9,3,8.202928
9,4,5.883548
9,5,4.335267
9,6,4.342835
9,7,3.391420
9,8,5.384195
9,9,0.000000
